title,artist,points,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Brenda’s Got A Baby,2Pac,10,1991,0.67,0.496,5,-14.029,0,0.0907,0.0275,0,0.104,0.713,166.758
D’Evils,JAY-Z,10,1996,0.621,0.672,6,-6.662,0,0.308,0.0345,0,0.0899,0.514,84.995
Don’t Sweat The Technique,Eric B & Rakim,10,1992,0.712,0.908,4,-6.898,1,0.146,0.00669,0.0373,0.0938,0.777,105.893
Double Trouble At The Amphitheatre,Double Trouble,10,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Follow The Leader,Eric B & Rakim,10,1988,0.586,0.795,11,-8.71,1,0.258,0.354,0,0.187,0.694,94.101
Guess Who’s Back,Rakim,10,1997,0.796,0.798,6,-7.456,0,0.262,0.0153,0,0.106,0.692,94.016
How To Rap About Africa,Black Vulcanite,10,2016,0.535,0.669,1,-8.771,1,0.504,0.662,0,0.349,0.197,91.165
I Love The Dough,The Notorious B.I.G. ft. JAY-Z & Angela Winbush,10,1997,0.774,0.776,6,-5.331,1,0.304,0.178,0,0.283,0.654,99.071
I Really Mean It,The Diplomats,10,2003,0.576,0.726,0,-4.409,1,0.2,0.0236,1.61e-4,0.678,0.82,81.022
Kick Push,Lupe Fiasco,10,2006,0.652,0.809,5,-5.276,1,0.17,0.164,0,0.175,0.512,94.786
Lose Control,Missy Elliot ft. Ciara and Fatman Scoop,10,2005,0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461
Memory Lane (Sittin’ in da Park),Nas,10,1994,0.648,0.841,0,-4.322,1,0.212,0.31,0,0.136,0.624,89.564
Moment Of Truth,Gang Starr,10,1998,0.787,0.832,10,-4.671,1,0.301,0.0347,0,0.0593,0.814,92.606
Mural,Lupe Fiasco,10,2015,0.431,0.898,1,-4.233,0,0.166,0.011,0.00115,0.523,0.192,81.637
Nature of the Threat,Ras Kass,10,1996,0.754,0.667,7,-6.209,1,0.356,0.0295,0,0.276,0.624,91.344
Never Change,JAY-Z,10,2001,0.744,0.876,1,-3.285,0,0.273,0.00331,0,0.0675,0.842,85.442
Nutmeg,Ghostface Killah,10,2000,0.511,0.857,2,-5.681,1,0.369,0.398,0,0.346,0.561,175.994
One Love,Nas,10,1994,0.609,0.489,0,-12.9,1,0.0383,0.0675,0,0.101,0.132,97.163
Players,Slum Village,10,1997,0.805,0.473,1,-5.924,1,0.484,0.18,0,0.116,0.7,92.944
Sideways,E-40 feat B-Legit & Mac Shon,10,1995,0.92,0.532,1,-8.169,0,0.227,0.00924,0,0.0876,0.47,95.92
Straight Outta Compton (Extended Mix),NWA,10,1989,0.773,0.947,8,-5.824,1,0.249,0.117,0,0.44,0.464,102.146
Terminator X To The Edge of Panic,Public Enemy,10,1998,0.711,0.678,6,-13.59,0,0.338,0.044,0,0.0606,0.593,100.819
That’s Not Me,Skepta ft. Jme,10,2014,0.827,0.854,0,-3.43,1,0.238,0.334,0,0.073,0.869,139.089
They Want EFX,Das EFX,10,1992,0.755,0.459,5,-12.84,0,0.358,0.115,0,0.0851,0.597,98.454
Things Done Changed,The Notorious B.I.G.,10,1994,0.742,0.63,1,-6.95,1,0.254,0.0244,2.77e-6,0.0716,0.123,90.905
Top Billin’,Audio Two,10,1987,0.913,0.351,10,-13.57,0,0.354,0.0102,0,0.401,0.727,91.499
Umoya,Skwatta Kamp,10,2003,0.725,0.863,9,-6.311,1,0.124,0.0759,0,0.0301,0.8,140.037
We Got It For Cheap (Intro),Clipse,10,2006,0.627,0.797,4,-6.132,0,0.389,0.322,0,0.179,0.589,92.384
White Lines,Grandmaster Melle Mel,10,1983,0.65,0.972,0,-5.883,1,0.0793,0.00257,0.016,0.428,0.631,115.747
Wot Do U Call It?,Wiley,10,2004,0.929,0.836,0,-6.833,1,0.278,0.231,0,0.111,0.816,137.055
Bring Da Ruckus,Wu-Tang Clan,8,1993,0.794,0.627,11,-9.431,1,0.36,0.234,0,0.35,0.518,87.554
Can’t Tell Me Nothing,Kanye West,8,2007,0.596,0.62,5,-6.133,0,0.039,0.0122,0,0.82,0.102,80.029
Monster,Kanye West,8,2010,0.628,0.692,2,-5.64,1,0.202,0.00244,0.013,0.668,0.0964,124.791
Real,Lupe Fiasco,8,2006,0.722,0.873,11,-4.343,1,0.0392,0.00462,1.49e-6,0.0663,0.6,140.698
Straight Outta Compton,NWA,8,1988,0.834,0.878,8,-9.484,1,0.15,0.0461,0,0.334,0.418,102.848
22 Two’s,JAY-Z,8,1996,0.665,0.879,7,-7.007,1,0.311,0.656,0,0.634,0.447,92.015
4th Chamber,Gza ft. Ghostface Killah & Killah Priest & RZA,8,1995,0.708,0.447,1,-6.305,1,0.0952,0.0271,7.28e-4,0.102,0.0384,89.62
